animal.ID,T/C Ratio,CAA Estimate,Result
1,0.021,35,positive
2,0.067,162,positive
3,0.213,559,positive
4,0.065,157,positive
5,0.045,104,positive
6,0.014,17,negative
7,1.29,3430,positive
8,0.01,7,negative
9,0.05,115,positive
10,0.008,1,negative
11,0.018,28,negative
12,3.557,9396,positive
13,0.993,2644,positive
14,0.053,124,positive
15,0.005,#NUM!,belowLLOD
16,0.013,13,negative
17,0.045,102,positive
18,0.007,#NUM!,belowLLOD
19,0.008,1,negative
20,0.015,19,negative
21,0.017,26,negative
22,0.004,#NUM!,belowLLOD
23,0.008,#NUM!,belowLLOD
24,0.019,31,positive
25,0.009,3,negative
26,0.008,#NUM!,belowLLOD
27,0.007,#NUM!,belowLLOD
28,0.242,636,positive
29,0.008,1,negative
30,0.064,153,positive
31,0.033,69,positive
32,0.092,230,positive
34,6.672,17533,positive
35,0.01,6,negative
36,0.012,11,negative
37,0.65,1730,positive
38,0.016,24,negative
39,0.009,2,negative
40,0.009,4,negative
41,0.008,0,negative
42,0.009,3,negative
43,0.029,59,positive
44,0.01,6,negative
45,0.009,2,negative
46,0.017,25,negative
47,0.012,12,negative
48,0.009,2,negative
49,0.01,7,negative
50,0.009,4,negative
51,0.019,30,negative
52,0.012,11,negative
53,0.239,630,positive
54,0.041,92,positive
55,0.112,285,positive
56,0.057,135,positive
57,6.303,16570,positive
58,0.008,#NUM!,belowLLOD
59,0.016,23,negative
60,0.014,18,negative
61,0.009,3,negative
62,0.008,1,negative
63,0.025,47,positive
64,0.013,14,negative
65,0.008,#NUM!,belowLLOD
66,0.013,15,negative
67,0.01,7,negative
68,0.011,9,negative
69,0.017,25,negative
70,0.016,22,negative
71,0.008,1,negative
72,0.009,4,negative
73,0.006,#NUM!,belowLLOD
74,0.008,1,negative
75,0.011,9,negative
76,0.012,12,negative
77,0.006,#NUM!,belowLLOD
78,0.008,#NUM!,belowLLOD
79,0.008,#NUM!,belowLLOD
80,0.016,22,negative
81,0.027,53,positive
82,0.02,33,positive
83,0.01,5,negative
84,0.009,2,negative
85,0.017,26,negative
86,0.516,1372,positive
87,0.007,#NUM!,belowLLOD
88,0.007,#NUM!,belowLLOD
89,0.014,18,negative
90,0.009,2,negative
91,0.007,#NUM!,belowLLOD
92,0.034,66,positive
93,0.103,224,positive
94,0.024,38,positive
95,0.036,71,positive
96,0.011,#NUM!,belowLLOD
97,0.007,#NUM!,belowLLOD
98,0.008,#NUM!,belowLLOD
99,0.402,856,positive
100,0.035,67,positive
101,0.015,13,negative
102,0.146,317,positive
103,0.045,92,positive
104,0.058,122,positive
105,0.395,840,positive
106,0.065,139,positive
107,2.635,11612,positive
108,0.017,20,negative
109,0.24,516,positive
110,0.016,14,negative
111,0.027,45,positive
112,0.008,#NUM!,belowLLOD
113,0.011,#NUM!,belowLLOD
114,0.042,85,positive
115,1.73,4819,positive
116,0.021,31,positive
117,0.01,#NUM!,belowLLOD
118,0.015,11,negative
119,0.016,16,negative
120,0.102,223,positive
121,1.864,5458,positive
122,0.014,8,negative
123,0.01,#NUM!,belowLLOD
124,0.01,#NUM!,belowLLOD
125,0.024,40,positive
126,0.008,#NUM!,belowLLOD
127,0.021,32,positive
128,0.016,14,negative
129,0.012,3,negative
130,0.047,98,positive
131,0.011,#NUM!,belowLLOD
132,0.017,20,negative
133,0.012,2,negative
134,0.019,24,negative
135,0.012,#NUM!,belowLLOD
136,0.013,4,negative
137,0.014,10,negative
138,0.013,6,negative
139,0.013,6,negative
140,0.007,#NUM!,belowLLOD
141,0.014,9,negative
142,0.014,8,negative
143,0.013,4,negative
144,0.01,#NUM!,belowLLOD
145,0.011,#NUM!,belowLLOD
146,0.012,1,negative
147,0.004,#NUM!,belowLLOD
148,0.025,42,positive
149,0.01,#NUM!,belowLLOD
150,0.012,3,negative
151,0.036,71,positive
152,0.01,#NUM!,belowLLOD
153,0.009,#NUM!,belowLLOD
154,0.048,100,positive
155,0.009,#NUM!,belowLLOD
156,0.015,13,negative
157,0.015,12,negative
158,0.031,56,positive
159,0.022,32,positive
160,0.017,19,negative
161,0.014,9,negative
162,0.015,13,negative
163,0.009,#NUM!,belowLLOD
164,0.008,#NUM!,belowLLOD
165,0.014,10,negative
166,0.022,34,positive
167,0.009,#NUM!,belowLLOD
168,0.006,#NUM!,belowLLOD
169,0.097,211,positive
170,0.011,#NUM!,belowLLOD
171,0.012,3,negative
172,0.016,15,negative
173,0.008,#NUM!,belowLLOD
174,0.007,#NUM!,belowLLOD
175,0.013,4,negative
176,0.007,#NUM!,belowLLOD
177,0.014,8,negative
178,0.008,#NUM!,belowLLOD
179,0.009,#NUM!,belowLLOD
180,0.009,#NUM!,belowLLOD
181,0.008,#NUM!,belowLLOD
182,0.014,23,negative
183,0.32,786,positive
185,0.005,#NUM!,belowLLOD
186,0.01,1,negative
187,0.018,38,positive
188,0.041,116,positive
189,0.007,#NUM!,belowLLOD
190,0.018,37,positive
191,0.008,#NUM!,belowLLOD
192,0.008,#NUM!,belowLLOD
193,0.01,#NUM!,belowLLOD
194,0.01,0,negative
195,0.009,#NUM!,belowLLOD
196,0.023,57,positive
197,0.012,14,negative
198,0.013,19,negative
199,0.011,7,negative
200,0.249,625,positive
201,0.009,#NUM!,belowLLOD
202,0.005,#NUM!,belowLLOD
203,0.012,12,negative
204,0.04,112,positive
205,0.008,#NUM!,belowLLOD
206,0.008,#NUM!,belowLLOD
207,0.006,#NUM!,belowLLOD
208,0.009,#NUM!,belowLLOD
209,0.026,66,positive
210,0.452,1084,positive
211,7.356,#NUM!,aboveHLOD
212,0.01,4,negative
213,0.011,9,negative
214,0.064,180,positive
215,0.013,16,negative
216,0.01,#NUM!,belowLLOD
217,0.012,11,negative
218,0.007,#NUM!,belowLLOD
219,1.427,3841,positive
220,0.036,98,positive
221,0.012,13,negative
222,0.008,#NUM!,belowLLOD
223,0.012,11,negative
224,0.009,#NUM!,belowLLOD
225,0.015,25,negative
226,0.008,#NUM!,belowLLOD
227,0.016,30,negative
228,0.008,#NUM!,belowLLOD
229,0.009,#NUM!,belowLLOD
230,0.014,21,negative
231,0.019,41,positive
232,0.059,166,positive
233,0.096,265,positive
234,0.015,28,negative
235,0.013,19,negative
236,0.008,#NUM!,belowLLOD
237,0.006,#NUM!,belowLLOD
238,0.011,9,negative
239,0.013,18,negative
240,0.011,6,negative
241,0.011,7,negative
242,0.008,#NUM!,belowLLOD
243,0.007,#NUM!,belowLLOD
244,0.012,15,negative
245,0.011,6,negative
246,0.011,7,negative
247,0.011,8,negative
248,0.011,5,negative
249,0.004,#NUM!,belowLLOD
250,0.234,591,positive
251,0.007,#NUM!,belowLLOD
252,2.553,12291,positive
253,0.027,72,positive
254,0.014,24,negative
255,0.008,#NUM!,belowLLOD
256,0.013,18,negative
257,0.014,22,negative
258,0.014,20,negative
259,0.042,117,positive
260,0.012,11,negative
261,0.009,#NUM!,belowLLOD
262,0.008,#NUM!,belowLLOD
263,0.005,#NUM!,belowLLOD
264,0.009,#NUM!,belowLLOD
265,0.019,42,positive
266,0.028,74,positive
267,0.013,19,negative
268,0.016,31,positive
269,0.01,#NUM!,belowLLOD
270,0.012,15,negative
271,0.015,25,negative
272,0.017,36,positive
273,0.011,1,negative
274,0.01,0,negative
275,0.01,0,negative
276,0.019,15,negative
277,0.007,#NUM!,belowLLOD
278,0.009,#NUM!,belowLLOD
279,0.005,#NUM!,belowLLOD
280,0.009,#NUM!,belowLLOD
281,0.014,6,negative
282,0.004,#NUM!,belowLLOD
283,0.007,#NUM!,belowLLOD
284,0.01,1,negative
285,0.01,0,negative
286,0.007,#NUM!,belowLLOD
287,0.023,22,negative
288,0.005,#NUM!,belowLLOD
289,0.006,#NUM!,belowLLOD
290,0.015,8,negative
291,0.008,#NUM!,belowLLOD
292,0.009,#NUM!,belowLLOD
293,0.01,1,negative
294,0.007,#NUM!,belowLLOD
295,0.005,#NUM!,belowLLOD
296,0.01,0,negative
297,0.009,#NUM!,belowLLOD
299,0.01,1,negative
300,0.009,#NUM!,belowLLOD
301,0.011,1,negative
302,0.012,3,negative
303,0.005,#NUM!,belowLLOD
304,0.014,6,negative
305,4.056,10975,positive
306,0.007,#NUM!,belowLLOD
307,0.008,#NUM!,belowLLOD
308,0.018,14,negative
309,0.011,1,negative
310,0.008,#NUM!,belowLLOD
311,0.009,#NUM!,belowLLOD
312,0.444,957,positive
313,0.008,#NUM!,belowLLOD
314,0.009,#NUM!,belowLLOD
315,0.009,#NUM!,belowLLOD
316,0.008,#NUM!,belowLLOD
317,0.007,#NUM!,belowLLOD
318,0.011,3,negative
319,0.01,0,negative
320,0.005,#NUM!,belowLLOD
321,0.011,2,negative
322,0.084,140,positive
323,0.028,30,negative
324,0.008,#NUM!,belowLLOD
325,0.011,2,negative
326,0.011,2,negative
327,0.004,#NUM!,belowLLOD
328,0.012,3,negative
329,0.01,0,negative
330,0.01,0,negative
331,0.006,#NUM!,belowLLOD
332,0.007,#NUM!,belowLLOD
333,0.009,#NUM!,belowLLOD
334,0.011,1,negative
335,0.008,#NUM!,belowLLOD
336,0.011,3,negative
337,0.008,#NUM!,belowLLOD
338,0.018,12,negative
339,0.005,#NUM!,belowLLOD
340,0.018,13,negative
341,0.01,1,negative
342,0.007,#NUM!,belowLLOD
343,0.007,#NUM!,belowLLOD
344,0.033,39,positive
345,0.008,#NUM!,belowLLOD
346,0.009,#NUM!,belowLLOD
347,0.007,#NUM!,belowLLOD
348,0.012,3,negative
349,0.011,1,negative
350,0.011,2,negative
351,0.016,10,negative
352,0.01,0,negative
353,0.009,#NUM!,belowLLOD
354,0.008,#NUM!,belowLLOD
355,0.007,#NUM!,belowLLOD
356,0.008,#NUM!,belowLLOD
357,0.006,#NUM!,belowLLOD
358,0.009,#NUM!,belowLLOD
359,0.008,#NUM!,belowLLOD
360,0.01,1,negative
361,0.025,26,negative
362,0.013,4,negative
363,0.008,#NUM!,belowLLOD
364,0.011,#NUM!,belowLLOD
365,0.017,6,negative
366,0.011,#NUM!,belowLLOD
367,0.009,#NUM!,belowLLOD
368,0.011,#NUM!,belowLLOD
369,0.019,9,negative
370,0.008,#NUM!,belowLLOD
371,0.009,#NUM!,belowLLOD
372,0.012,#NUM!,belowLLOD
373,0.007,#NUM!,belowLLOD
374,0.009,#NUM!,belowLLOD
375,0.009,#NUM!,belowLLOD
376,0.008,#NUM!,belowLLOD
377,0.01,#NUM!,belowLLOD
378,0.008,#NUM!,belowLLOD
379,0.01,#NUM!,belowLLOD
380,0.01,#NUM!,belowLLOD
381,0.009,#NUM!,belowLLOD
382,0.008,#NUM!,belowLLOD
383,0.01,#NUM!,belowLLOD
384,5.597,16078,positive
385,0.015,4,negative
386,0.01,#NUM!,belowLLOD
387,0.046,51,positive
388,0.013,1,negative
389,0.013,0,negative
390,0.007,#NUM!,belowLLOD
391,0.014,3,negative
392,0.012,#NUM!,belowLLOD
393,0.014,2,negative
394,0.013,0,negative
395,0.01,#NUM!,belowLLOD
396,0.01,#NUM!,belowLLOD
397,0.027,22,negative
398,0.014,2,negative
399,0.01,#NUM!,belowLLOD
400,0.01,#NUM!,belowLLOD
401,0.014,2,negative
402,0.008,#NUM!,belowLLOD
403,0.007,#NUM!,belowLLOD
404,0.008,#NUM!,belowLLOD
405,0.012,#NUM!,belowLLOD
406,0.015,3,negative
407,0.012,#NUM!,belowLLOD
408,0.013,0,negative
409,0.014,2,negative
410,0.012,0,negative
411,0.009,#NUM!,belowLLOD
412,0.009,#NUM!,belowLLOD
413,0.014,2,negative
414,0.014,2,negative
415,0.01,#NUM!,belowLLOD
416,0.01,#NUM!,belowLLOD
417,0.01,#NUM!,belowLLOD
418,0.017,6,negative
419,0.015,3,negative
420,0.011,#NUM!,belowLLOD
421,0.01,#NUM!,belowLLOD
422,0.009,#NUM!,belowLLOD
423,0.009,#NUM!,belowLLOD
424,0.009,#NUM!,belowLLOD
425,0.009,#NUM!,belowLLOD
426,0.015,4,negative
427,0.012,#NUM!,belowLLOD
428,0.009,#NUM!,belowLLOD
429,0.011,#NUM!,belowLLOD
430,0.026,21,negative
431,0.009,#NUM!,belowLLOD
432,0.011,#NUM!,belowLLOD
433,0.019,9,negative
434,0.009,#NUM!,belowLLOD
435,0.013,1,negative
436,0.012,#NUM!,belowLLOD
437,0.011,#NUM!,belowLLOD
438,0.009,#NUM!,belowLLOD
439,0.006,#NUM!,belowLLOD
440,0.014,3,negative
441,0.013,1,negative
442,0.007,#NUM!,belowLLOD
443,0.019,10,negative
444,0.014,2,negative
445,0.013,0,negative
446,0.017,6,negative
447,0.016,4,negative
449,0.034,33,positive
450,0.01,#NUM!,belowLLOD
451,0.016,5,negative
452,0.013,1,negative
453,0.01,#NUM!,belowLLOD
454,0.021,12,negative
455,0.013,11,negative
456,0.007,#NUM!,belowLLOD
457,0.012,9,negative
458,0.011,7,negative
459,0.011,7,negative
460,0.019,22,negative
461,0.012,9,negative
462,0.021,26,negative
463,0.011,6,negative
464,0.009,2,negative
465,0.012,9,negative
466,0.009,3,negative
467,1.291,3456,positive
468,0.01,4,negative
469,0.014,12,negative
470,0.006,#NUM!,belowLLOD
471,0.041,66,positive
472,0.01,4,negative
473,0.015,15,negative
474,0.066,116,positive
475,0.014,12,negative
476,0.01,5,negative
477,0.057,99,positive
478,0.009,2,negative
479,0.407,863,positive
480,0.019,23,negative
481,0.009,2,negative
482,0.009,2,negative
483,0.012,9,negative
484,0.01,4,negative
485,0.011,6,negative
486,0.006,#NUM!,belowLLOD
487,0.008,0,negative
488,0.012,9,negative
489,0.009,2,negative
490,0.011,6,negative
491,0.011,6,negative
492,0.011,6,negative
493,0.009,2,negative
494,0.009,2,negative
495,0.015,15,negative
496,0.011,7,negative
497,0.023,29,negative
498,0.017,17,negative
499,0.126,240,positive
500,0.007,#NUM!,belowLLOD
501,0.01,5,negative
502,0.012,8,negative
503,0.022,28,negative
504,0.01,5,negative
505,0.008,#NUM!,belowLLOD
506,0.023,31,positive
507,0.007,#NUM!,belowLLOD
508,0.011,6,negative
509,0.748,1734,positive
510,0.011,7,negative
511,0.011,6,negative
512,0.104,195,positive
513,0.008,1,negative
514,0.012,9,negative
515,0.011,6,negative
516,0.012,9,negative
517,0.012,9,negative
518,0.01,4,negative
519,0.01,5,negative
520,0.012,8,negative
521,0.011,7,negative
522,0.026,37,positive
523,0.011,6,negative
524,0.016,16,negative
525,0.023,29,negative
526,0.008,1,negative
527,0.065,114,positive
528,0.013,11,negative
529,0.019,22,negative
530,0.01,5,negative
531,0.011,6,negative
532,0.01,5,negative
533,0.012,8,negative
534,0.016,15,negative
535,0.012,8,negative
536,0.006,#NUM!,belowLLOD
537,0.012,9,negative
538,0.011,7,negative
539,0.013,11,negative
540,0.009,2,negative
541,0.011,7,negative
542,0.013,11,negative
543,0.019,22,negative
544,0.006,#NUM!,belowLLOD
545,0.032,53,positive
546,0.012,5,negative
547,0.009,#NUM!,belowLLOD
548,0.007,#NUM!,belowLLOD
549,0.065,129,positive
550,0.011,#NUM!,belowLLOD
551,0.009,#NUM!,belowLLOD
552,0.011,1,negative
553,4.373,10593,positive
554,0.009,#NUM!,belowLLOD
555,0.012,3,negative
556,0.009,#NUM!,belowLLOD
557,0.009,#NUM!,belowLLOD
558,0.009,#NUM!,belowLLOD
559,0.007,#NUM!,belowLLOD
560,0.008,#NUM!,belowLLOD
561,0.009,#NUM!,belowLLOD
562,0.011,2,negative
563,0.005,#NUM!,belowLLOD
564,0.248,520,positive
565,0.009,#NUM!,belowLLOD
566,0.008,#NUM!,belowLLOD
567,0.011,0,negative
568,0.006,#NUM!,belowLLOD
569,0.009,#NUM!,belowLLOD
570,0.016,14,negative
571,0.01,#NUM!,belowLLOD
572,0.011,2,negative
573,0.011,1,negative
574,0.012,5,negative
575,0.009,#NUM!,belowLLOD
576,0.012,3,negative
577,0.007,#NUM!,belowLLOD
578,0.008,#NUM!,belowLLOD
579,0.007,#NUM!,belowLLOD
580,0.007,#NUM!,belowLLOD
581,0.014,10,negative
582,0.01,#NUM!,belowLLOD
583,0.013,5,negative
584,0.005,#NUM!,belowLLOD
585,0.008,#NUM!,belowLLOD
586,0.39,813,positive
587,0.006,#NUM!,belowLLOD
588,0.008,#NUM!,belowLLOD
589,0.004,#NUM!,belowLLOD
590,0.011,1,negative
591,0.006,#NUM!,belowLLOD
592,0.006,#NUM!,belowLLOD
593,0.005,#NUM!,belowLLOD
594,0.007,#NUM!,belowLLOD
595,0.012,4,negative
596,0.013,6,negative
597,0.01,#NUM!,belowLLOD
598,0.008,#NUM!,belowLLOD
599,0.008,#NUM!,belowLLOD
600,0.012,5,negative
601,0.006,#NUM!,belowLLOD
602,0.013,7,negative
603,0.013,8,negative